tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	TO086	10.94	13.062	2.122	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	ho visto che quella schiscetta	ho visto che quella schiscetta	ho visto che quella schiscetta
1	TO086	13.666	15.645	1.979	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	è anche tipo un modello famoso	è anche tipo un modello famoso	è anche tipo un modello famoso
2	TO085	16.86	17.573	0.713	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	questa?	questa?	questa
3	TO086	17.58	18.107	0.527	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	s:ì	s:ì	sì
4	TO085	18.111	19.261	1.15	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	non è un modello	non è un modello	non è un modello
5	TO086	19.772	22.655	2.883	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	no che ne esiste proprio una fatta così::	no che ne esiste proprio una fatta così::	no che ne esiste proprio una fatta così
6	TO086	22.902	26.504	3.602	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	che è un modello:: famoso nell' ambito del design	che è un modello:: famoso nell' ambito del design	che è un modello famoso nell' ambito del design
7	TO085	26.745	27.594	0.849	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	m::[:h]	[m:::h]	mh
8	TO086	27.108	30.759	3.651	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	[e che] è esposta nel tipo museo del design di monza	[e che] è esposta nel tipo museo del design di monza	e che è esposta nel tipo museo del design di monza
9	TO085	31.301	32.556	1.255	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	2	[stai scherzando?]	[stai scherzando]?	stai scherzando
10	TO086	31.301	32.556	1.255	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[te lo giuro]	[te lo giuro]	te lo giuro
11	TO086	32.637	34.896	2.259	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	5	sì (.) [no non sto scherzando]	sì {P} [no non sto scherzando]	sì {P} no non sto scherzando
12	TO085	33.051	35.252	2.201	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	[uno come fai sapere queste] cose	[uno come fai sapere queste] cose	uno come fai sapere queste cose
13	TO086	35.796	41.514	5.718	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	uno perché e:h avevo cercato schiscetta [così tanto per]	uno perché e:h avevo cercato schiscetta [così tanto per]	uno perché eh avevo cercato schiscetta così tanto per
14	TO085	40.024	41.514	1.49	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	2	[ma uguale?]	[ma uguale]?	ma uguale
15	TO086	42.007	45.058	3.051	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	è molto simile si chiama qualcosa duemi:la	è molto simile si chiama qualcosa duemi:la	è molto simile si chiama qualcosa duemila
16	TO085	45.059	46.259	1.201	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	3	ma di acciaio?	ma di acciaio?	ma di acciaio
17	TO086	46.259	47.051	0.793	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	2	eh sì	eh sì	eh sì
18	TO085	47.411	51.553	4.142	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	15	ma questa qua comunque era tipo::  >cioè< l' ho trovata in casa di mia nonna:	ma questa qua comunque era tipo:: >cioè< l' ho trovata in casa di mia nonna:	ma questa qua comunque era tipo cioè l' ho trovata in casa di mia nonna
19	TO085	52.355	56.632	4.277	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	15	secondo me era o di mio padre quando faceva [il milita:re (.)] o di mio nonno	secondo me era o di mio padre quando faceva [il milita:re {P}] o di mio nonno	secondo me era o di mio padre quando faceva il militare {P} o di mio nonno
20	TO086	54.549	55.893	1.344	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[eh buona sta cosa]	[eh buona sta cosa]	eh buona sta cosa
21	TO085	56.675	58.048	1.373	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	ravioli e rucola	ravioli e rucola	ravioli e rucola
22	TO086	58.718	60.801	2.083	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	mi piace °come abbinamento°	mi piace °come abbinamento°	mi piace come abbinamento
23	TO085	61.058	61.909	0.851	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	sì, sì no	sì, sì no	sì sì no
24	TO085	61.933	65.067	3.134	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	15	è tre giorni che ma~ no è il secondo giorno che mangio ravoli e rucola	è tre giorni che ma~ no è il secondo giorno che mangio ravoli e rucola	è tre giorni che ma~ no è il secondo giorno che mangio ravoli e rucola
25	TO085	65.083	69.048	3.965	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	17	ed è tre giorni che mangio rucola di verdura perché non sono ancora andata a porta palazzo	ed è tre giorni che mangio rucola di verdura perché non sono ancora andata a porta palazzo	ed è tre giorni che mangio rucola di verdura perché non sono ancora andata a porta palazzo
26	TO086	70.451	73.778	3.327	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	10	rucola ah (.) beh ma è buona la rucola è buon[issima]	rucola ah {P} beh ma è buona la rucola è buon[issima]	rucola ah {P} beh ma è buona la rucola è buonissima
27	TO085	73.372	76.526	3.154	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	[sì] ho capito ma non sto variando molto con le verdure	[sì] ho capito ma non sto variando molto con le verdure	sì ho capito ma non sto variando molto con le verdure
28	TO085	76.747	78.742	1.995	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	non non ne sto mangiando	non non ne sto mangiando	non non ne sto mangiando
29	TO085	82.0	84.138	2.138	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	però sì è buono l' abbinamento	però sì è buono l' abbinamento	però sì è buono l' abbinamento
30	TO086	85.501	87.505	2.004	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	vediamo sta pizza com' è	vediamo sta pizza com' è	vediamo sta pizza com' è
31	TO086	94.723	95.837	1.114	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	0	°xxx°	°xxx°	x
32	TO085	110.652	112.181	1.529	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	sembra buo:na	sembra buo:na	sembra buona
33	TO086	112.76	113.527	0.767	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	m::h	m::h	mh
