tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	BO139	3.52	4.01	0.49	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	0	((ride))	{ride}	{ride}
1	BO145	4.05	6.32	2.27	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	devi riprendere adesso te? ah no devi stare così	devi riprendere adesso te? ah no devi stare così	devi riprendere adesso te ah no devi stare così
2	BO139	6.33	8.13	1.8	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	no sì sì te stai come:	no sì sì te stai come:	no sì sì te stai come
3	BO145	8.99	11.09	2.1	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	non mi ricordo cosa stavo dicendo	non mi ricordo cosa stavo dicendo	non mi ricordo cosa stavo dicendo
4	BO139	9.185	9.665	0.48	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	0	((ride))	{ride}	{ride}
5	BO139	11.1	11.63	0.53	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	0	((ride))	{ride}	{ride}
6	BO145	11.8	13.23	1.43	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	adesso mi sento:	adesso mi sento:	adesso mi sento
7	BO139	13.59	14.29	0.7	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[osservata]	[osservata]	osservata
8	BO145	13.6	15.89	2.29	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[ascolta]ta[: sì: giudicata]	[ascolta]t[a: sì: giudicata]	ascoltata sì giudicata
9	BO139	14.495	16.03	1.535	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	[eh devo farlo di nascosto forse]	[eh devo farlo di nascosto forse]	eh devo farlo di nascosto forse
10	BO145	16.44	19.42	2.98	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	16	ah vabbè non è che adesso non è che c' ho problemi a parla' lo sai	ah vabbè non è che adesso non è che c' ho problemi a parla' lo sai	ah vabbè non è che adesso non è che c' ho problemi a parla' lo sai
11	BO139	19.605	21.015	1.41	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	0	((ride))	{ride}	{ride}
12	BO145	19.97	20.9	0.93	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	1	quindi ((ride))	quindi {ride}	quindi {ride}
13	BO139	21.02	22.19	1.17	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	eh ho visto l' altra volta	eh ho visto l' altra volta	eh ho visto l' altra volta
14	BO145	22.77	26.67	3.9	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	12	dai ma è venuta così male >cioè:< piena de parolacce quella con[versaz~?]	dai ma è venuta così male >cioè:< piena de parolacce quella con[versaz~]?	dai ma è venuta così male cioè piena de parolacce quella conversaz~
15	BO139	26.175	30.595	4.42	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	14=0.495,16=0.685	True	0	1	0	20	[no non è que]llo è che c' è proprio il punto in cui e non lo ripeto adesso però perché ((ride))	[no non è que]llo è che c' è proprio il punto in cui e non lo ripeto adesso però perché {ride}	no non è quello è che c' è proprio il punto in cui e non lo ripeto adesso però perché {ride}
16	BO145	29.91	31.21	1.3	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[okay] va bene	[okay] va bene	okay va bene
17	BO139	32.01	32.46	0.45	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	che [fa]	che [fa]	che fa
18	BO145	32.22	32.46	0.24	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[co~]	[co~]	co~
19	BO139	32.67	34.35	1.68	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	la prossima volta ci registriamo mentre	la prossima volta ci registriamo mentre	la prossima volta ci registriamo mentre
20	BO145	35.005	36.205	1.2	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	2	ah sì ((ride))	ah sì {ride}	ah sì {ride}
21	BO139	35.27	36.2	0.93	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	0	((ride))	{ride}	{ride}
22	BO145	37.34	39.64	2.3	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	vabbè io spero che la prof non sa chi sono io	vabbè io spero che la prof non sa chi sono io	vabbè io spero che la prof non sa chi sono io
23	BO139	40.235	40.685	0.45	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	eh eh	eh eh	eh eh
24	BO145	40.975	43.735	2.76	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	no dai ale levalo ti prego quel pe[zzo]	no dai ale levalo ti prego quel pe[zzo]	no dai ale levalo ti prego quel pezzo
25	BO139	43.3	44.53	1.23	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[eh lo bi]pperò dai	[eh lo bi]pperò dai	eh lo bipperò dai
26	BO139	44.79	45.24	0.45	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	0	((ride))	{ride}	{ride}
27	BO145	45.34	47.55	2.21	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	1	0	5	non ti prego (.) ti prego ((ride))	non ti prego {P} ti prego {ride}	non ti prego {P} ti prego {ride}
