tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	PKP061	4.408	5.612	1.204	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	xxx tu devi andare?	xxx tu devi andare?	x tu devi andare
1	PKP057	6.806	7.051	0.245	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	sì	sì	sì
2	PKP061	7.061	8.397	1.336	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	vuoi che andiamo direttamente là?	vuoi che andiamo direttamente là?	vuoi che andiamo direttamente là
3	PKP057	8.397	10.397	2.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	5	e:hm (.) secondo me ci conviene	e:hm {P} secondo me ci conviene	ehm {P} secondo me ci conviene
4	PKP061	10.816	13.17	2.354	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	1	0	0	11	ma devi passare a prendere della roba, tu a casa? (.) [no.]	ma devi passare a prendere della roba, tu a casa? {P} [no].	ma devi passare a prendere della roba tu a casa {P} no
5	PKP057	12.806	13.28	0.474	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[no]	[no]	no
6	PKP057	15.02	19.428	4.408	True	False	0	0	1	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	14	no perchè::: io i documenti che a loro servivano glieli ho inviati per mail	no perché::: io i documenti che a loro servivano glieli ho inviati per mail	no perché io i documenti che a loro servivano glieli ho inviati per mail
7	PKP057	21.193	26.632	5.439	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	e::: il codice ce l'ho nel portafoglio, quindi direi che m:h	e::: il codice ce l'ho nel portafoglio, quindi direi che m:h	e il codice ce l' ho nel portafoglio quindi direi che mh
8	PKP061	26.632	29.201	2.572	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	1	0	0	5	allora andiamo là direttamente (.) conviene	allora andiamo là direttamente {P} conviene	allora andiamo là direttamente {P} conviene
9	PKP057	29.201	30.3	1.102	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	4	ma direi di sì	ma direi di sì	ma direi di sì
10	PKP057	35.785	36.989	1.204	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	°direi di sì mami°	°direi di sì mami°	direi di sì mami
11	PKP061	47.612	49.02	1.408	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	°(cucciolo) sono rilassata°	°(cucciolo) sono rilassata°	cucciolo sono rilassata
12	PKP057	49.285	49.602	0.317	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	sì?	sì?	sì
13	PKP057	50.795	51.63	0.835	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	14=0.018	False	0	0	0	3	anch'io adesso	anch'io adesso	anch' io adesso
14	PKP061	51.612	53.295	1.683	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	13=0.018,15=0.745	True	0	0	0	2	°sono rilassata [xxx°]	°sono rilassata [xxx°]	sono rilassata x
15	PKP057	52.55	54.0	1.45	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	[ero un po'] in pensiero	[ero un po'] in pensiero	ero un po' in pensiero
16	PKP061	54.01	55.183	1.173	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	eh immagino	eh immagino	eh immagino
17	PKP061	57.613	60.193	2.58	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	sai delle volte non si sa mai alcune visite di controllo,	sai delle volte non si sa mai alcune visite di controllo,	sai delle volte non si sa mai alcune visite di controllo
18	PKP057	61.659	63.806	2.147	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	servono anche a quello le visite di contr[ollo]	servono anche a quello le visite di contr[ollo]	servono anche a quello le visite di controllo
19	PKP061	63.288	63.937	0.649	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	1	[eh.]	[eh].	eh
20	PKP057	66.187	66.797	0.61	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mh,	mh,	mh
21	PKP057	72.622	75.428	2.806	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	ce n'era un sacco comunque di gente lì fuori ad aspettare	ce n'era un sacco comunque di gente lì fuori ad aspettare	ce n' era un sacco comunque di gente lì fuori ad aspettare
