tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	???	0.0	1.747	1.747	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	xxx adesso xxx	xxx adesso xxx	x adesso x
1	???	1.781	5.3740000000000006	3.597	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	5	c' era lei che comunque xxx	c' era lei che comunque xxx	c' era lei che comunque x
2	TO070	5.3740000000000006	8.88	3.51	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	10	allora preferite sempre se uso il microfono? almeno per iniziare?	allora preferite sempre se uso il microfono? almeno per iniziare?	allora preferite sempre se uso il microfono almeno per iniziare
3	TO070	9.233	9.84	0.607	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	va bene	va bene	va bene
4	TO070	12.02	12.87	0.85	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	sì in fondo	sì in fondo	sì in fondo
5	TO070	13.8	19.52	5.72	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	22	è meglio anche per me perché mi dà sempre fastidio tenerlo però in realtà la mia voce è più contenta ovviamente se	è meglio anche per me perché mi dà sempre fastidio tenerlo però in realtà la mia voce è più contenta ovviamente se	è meglio anche per me perché mi dà sempre fastidio tenerlo però in realtà la mia voce è più contenta ovviamente se
6	TO070	19.695	20.55	0.855	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	l' aiuto un po'.	l' aiuto un po'.	l' aiuto un po'
7	TO070	25.57	26.45	0.88	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	e::h=mh	e::h=mh	eh mh
8	TO070	26.505	29.18	2.675	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	domande cose non:: non chiarite,	domande cose non:: non chiarite,	domande cose non non chiarite
9	TO070	29.216	32.288	3.072	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	6	qualcosa che:: è rimasto:: (.) qualche dubbio?	qualcosa che:: è rimasto:: {P} qualche dubbio?	qualcosa che è rimasto {P} qualche dubbio
10	TO070	32.97	33.86	0.89	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	tutto bene?	tutto bene?	tutto bene
11	TO070	41.025	41.738	0.713	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	e:h dunque.	e:h dunque.	eh dunque
